Timestamp,EURUSD,GBPUSD,USDJPY,XAUUSD,DJI,DXY,NDXT,SP500
2019.01.15-16:00:00,1.14539,1.2837,108.48,1294.36,23951.4,95.72,6629.4,2597.4
2019.01.15-17:00:00,1.14389,1.28086,108.51100000000001,1291.08,23997.7,95.83,6633.9,2601.55
2019.01.15-18:00:00,1.13923,1.27605,108.711,1287.82,24049.0,96.16,6661.0,2608.03
2019.01.15-19:00:00,1.13895,1.27302,108.619,1287.93,24042.8,96.21,6661.25,2607.15
2019.01.15-20:00:00,1.13869,1.27017,108.56299999999999,1288.64,24038.0,96.24,6664.75,2607.71
2019.01.15-21:00:00,1.14012,1.28339,108.569,1290.27,23998.1,96.1,6646.01,2603.21
2019.01.15-22:00:00,1.14134,1.2883200000000001,108.665,1289.0,24063.3,95.93,6667.92,2609.85
2019.01.15-23:00:00,1.14121,1.28577,108.60799999999999,1288.92,24065.6,95.97,6664.14,2605.29
2019.01.16-00:00:00,1.14056,1.28608,108.62899999999999,1288.92,24065.6,95.98,6664.14,2605.29
2019.01.16-01:00:00,1.1414,1.2870700000000002,108.65100000000001,1289.54,24065.6,96.04,6678.42,2610.91
2019.01.16-02:00:00,1.14104,1.2857299999999998,108.45,1290.6,24065.6,95.94,6666.45,2607.53
2019.01.16-03:00:00,1.13981,1.28359,108.421,1289.12,24065.6,96.0,6664.98,2607.21
2019.01.16-04:00:00,1.14011,1.28407,108.49600000000001,1289.5,24065.6,96.01,6672.26,2609.93
2019.01.16-05:00:00,1.14029,1.28494,108.50200000000001,1288.75,24065.6,96.0,6670.72,2609.7
2019.01.16-06:00:00,1.141,1.28564,108.475,1289.55,24065.6,95.97,6675.0,2611.35
2019.01.16-07:00:00,1.14115,1.2866799999999998,108.475,1291.62,24065.6,95.91,6676.25,2612.35
2019.01.16-08:00:00,1.1397700000000002,1.28425,108.505,1290.95,24065.6,95.98,6670.51,2611.87
2019.01.16-09:00:00,1.13936,1.28556,108.617,1289.68,24065.6,96.0,6671.56,2614.11
2019.01.16-10:00:00,1.14214,1.28659,108.535,1290.73,24065.6,95.92,6671.0,2613.85
2019.01.16-11:00:00,1.14103,1.28749,108.62700000000001,1289.78,24065.6,95.92,6665.05,2611.0
2019.01.16-12:00:00,1.13998,1.28614,108.773,1289.36,24065.6,96.01,6662.95,2609.37
2019.01.16-13:00:00,1.1378,1.2848899999999999,108.844,1288.65,24065.6,96.16,6667.57,2609.97
2019.01.16-14:00:00,1.13865,1.2874299999999999,108.85,1288.79,24065.6,96.09,6673.0,2611.71
2019.01.16-15:00:00,1.1390200000000001,1.28495,108.805,1290.11,24065.6,96.09,6673.24,2612.45
2019.01.16-16:00:00,1.13976,1.2884,108.848,1292.47,24199.9,96.02,6711.1,2620.6
2019.01.16-17:00:00,1.1394,1.28595,108.853,1292.93,24188.2,96.0,6680.31,2618.35
2019.01.16-18:00:00,1.14073,1.28605,108.84200000000001,1294.63,24185.2,95.98,6673.8,2616.5
2019.01.16-19:00:00,1.1399299999999999,1.2852700000000001,108.96600000000001,1293.73,24219.3,96.07,6683.88,2620.15
2019.01.16-20:00:00,1.1407,1.28595,108.85799999999999,1293.39,24235.5,96.0,6677.79,2620.55
2019.01.16-21:00:00,1.13975,1.28702,108.915,1293.15,24250.9,96.02,6681.36,2621.25
2019.01.16-22:00:00,1.13923,1.28808,109.02799999999999,1293.1,24202.7,96.1,6667.99,2615.75
